# m= 1.011331  c= 0.337209 
# x f(x) mx+c 
0.000000 0.000000 0.337209 
0.099010 0.017905 0.437341 
0.198020 0.066330 0.537472 
0.297030 0.139767 0.637604 
0.396040 0.234808 0.737736 
0.495050 0.349281 0.837868 
0.594059 0.481762 0.938000 
0.693069 0.631274 1.038131 
0.792079 0.797087 1.138263 
0.891089 0.978571 1.238395 
0.990099 1.175077 1.338527 
1.089109 1.385831 1.438659 
1.188119 1.609841 1.538790 
1.287129 1.845805 1.638922 
1.386139 2.092025 1.739054 
1.485149 2.346336 1.839186 
1.584158 2.606050 1.939317 
1.683168 2.867928 2.039449 
1.782178 3.128194 2.139581 
1.881188 3.382606 2.239713 
1.980198 3.626573 2.339845 
2.079208 3.855354 2.439976 
2.178218 4.064296 2.540108 
2.277228 4.249122 2.640240 
2.376238 4.406224 2.740372 
2.475248 4.532926 2.840504 
2.574257 4.627693 2.940635 
2.673267 4.690244 3.040767 
2.772277 4.721551 3.140899 
2.871287 4.723741 3.241031 
2.970297 4.699898 3.341163 
3.069307 4.653812 3.441294 
3.168317 4.589704 3.541426 
3.267327 4.511954 3.641558 
3.366337 4.424870 3.741690 
3.465347 4.332503 3.841822 
3.564356 4.238521 3.941953 
3.663366 4.146131 4.042085 
3.762376 4.058051 4.142217 
3.861386 3.976519 4.242349 
3.960396 3.903318 4.342480 
4.059406 3.839826 4.442612 
4.158416 3.787067 4.542744 
4.257426 3.745767 4.642876 
4.356436 3.716407 4.743008 
4.455446 3.699270 4.843139 
4.554455 3.694482 4.943271 
4.653465 3.702050 5.043403 
4.752475 3.721894 5.143535 
4.851485 3.753864 5.243667 
4.950495 3.797767 5.343798 
5.049505 3.853378 5.443930 
5.148515 3.920450 5.544062 
5.247525 3.998727 5.644194 
5.346535 4.087941 5.744326 
5.445545 4.187825 5.844457 
5.544554 4.298107 5.944589 
5.643564 4.418511 6.044721 
5.742574 4.548762 6.144853 
5.841584 4.688573 6.244984 
5.940594 4.837651 6.345116 
6.039604 4.995687 6.445248 
6.138614 5.162354 6.545380 
6.237624 5.337303 6.645512 
6.336634 5.520152 6.745643 
6.435644 5.710483 6.845775 
6.534653 5.907837 6.945907 
6.633663 6.111701 7.046039 
6.732673 6.321511 7.146171 
6.831683 6.536633 7.246302 
6.930693 6.756366 7.346434 
7.029703 6.979929 7.446566 
7.128713 7.206462 7.546698 
7.227723 7.435020 7.646830 
7.326733 7.664569 7.746961 
7.425743 7.893986 7.847093 
7.524752 8.122066 7.947225 
7.623762 8.347525 8.047357 
7.722772 8.569007 8.147488 
7.821782 8.785105 8.247620 
7.920792 8.994370 8.347752 
8.019802 9.195342 8.447884 
8.118812 9.386565 8.548016 
8.217822 9.566634 8.648147 
8.316832 9.734209 8.748279 
8.415842 9.888067 8.848411 
8.514852 10.027128 8.948543 
8.613861 10.150496 9.048675 
8.712871 10.257489 9.148806 
8.811881 10.347669 9.248938 
8.910891 10.420864 9.349070 
9.009901 10.477180 9.449202 
9.108911 10.517016 9.549334 
9.207921 10.541051 9.649465 
9.306931 10.550232 9.749597 
9.405941 10.545758 9.849729 
9.504951 10.529049 9.949861 
9.603960 10.501705 10.049993 
9.702970 10.465468 10.150124 
9.801980 10.422183 10.250256 
9.900990 10.373748 10.350388 
